URL,Title,Image,Keywords,Description
https://www.brooklynmuseum.org/,Brooklyn Museum,https://d1lfxha3ugu3d4.cloudfront.net/assets/system-images/remote/https_d1lfxha3ugu3d4.cloudfront.net/exhibitions/images/FIG.742_NEW_2011.36.1P02H.jpg,,
https://www.brooklynmuseum.org/about,About the Museum,https://d1lfxha3ugu3d4.cloudfront.net/about/images/About_Brooklyn_Museum_2004_14_van_Soest_1440x360.jpg,About,"About the Museum
Lenapehoking: Land of the Lenape
The Brooklyn Museum stands on land that is part of the unceded, ancestral homeland of the Lenape (Delaware) people. As a sign of respect, we recognize and honor the Lenape (Delaware) Nations, their elders past and present, and future generations. We are committed to addressing exclusions and erasures of Indigenous peoples, and confronting the ongoing legacies of settler colonialism in the Museum’s work.
Our Mission
To bring people together through art and experiences that inspire celebration, compassion, courage, and the will to act.
Our Vision
To be the place where art is a powerful force for personal transformation and social change.
Our Values
Great Art and Great Art Experiences
We hold ourselves to the highest standards of excellence in collections, exhibitions, programs, and visitor experience. Our work seeks to expand and challenge the traditional art historical canon by including multiple perspectives. We strive to create opportunities for transformative engagement with our collections through inspirational exhibitions, programs, and educational offerings, and to welcome all visitors with respect.
Many Histories and a Shared Future
We promote perspectives that expand the stories we tell and engage diverse audiences in conversations that broaden the way we see ourselves, the world, and its possibilities. The Museum should be a place where people see themselves with dignity and each other with empathy, care, and respect. As a public, civic institution, we believe it is our mandate to contribute to the advancement of society with a commitment to true connectedness and diversity. Central to this belief is our commitment to exploring, understanding, and appreciating our differences, while acknowledging how structural inequities and systems of oppression impact our work.
Openness and Free Expression
We believe that the open and free exchange of ideas among people of diverse beliefs, cultures, and experiences stimulates new understandings, expands insights into our shared humanity, and promotes social generosity. We also recognize that differing views may sometimes be met with discomfort, dissent, and even conflict, and we embrace our public, civic role as an important conduit for open sharing and learning.
Action and Impact
We celebrate the cultural vibrancy of our local communities and work to help build meaningful relationships that strengthen and deepen them. Believing that through innovation and action there is hope, we champion the powerful roles art and artists can play in our communities, both inside and outside the Museum’s walls. We endeavor to bring attention to issues of social justice through our programming and partnerships, amplifying the voices of those who have been historically marginalized, and hope to inspire action and impact.
Professionalism and Passion
We seek to create a work environment that values and fosters equity, accountability, innovation, teamwork, and excellence. We are committed to creating and cultivating a diverse community of talented, passionate people who are inspired to make the Museum an important hub of community activity and a great global destination, grow their professional skills, and work collaboratively with colleagues they admire and respect. We work to incorporate anti-oppressive and anti-racist practices into all facets of the Museum and to use our resources to further these goals, including the full engagement of our Board and staff. 
Explore the history of our building.
"
https://www.brooklynmuseum.org/about/advisors,Brooklyn Museum: Advisors,,Advisers,"Advisors
OFFICERS
CO-CHAIRNancy Bowe
CO-CHAIRHope Dana
MEMBERS
Fabiola Beracasa
Nancy Brown
James Cohan
Coltrane Curtis
Katharine Davis Fishman
Elizabeth Fraser
Ellen Hamilton
Katya Jestin
Jeanne Masel
Amanda Sue Nichols
Holly Peterson
Debbie Rechler
Karen Robinovitz
Sara and Marc Schiller
Jon Sherman
Gretchen Shugart
Susan Sills
David Stark
MaryRoss Taylor
ENTREPRENEUR IN RESIDENCE
Rachel Shechtman
"
https://www.brooklynmuseum.org/about/anne_pasternak,Anne Pasternak,,Anne Pasternak,"Anne Pasternak

Photo by Timothy Greenfield-Sanders
Anne PasternakShelby White and Leon Levy Director
Since 2015, Anne Pasternak has served as the Shelby White and Leon Levy Director of the Brooklyn Museum, one of the oldest and largest fine arts institutions in the nation. For more than thirty years, Anne has devoted her career to engaging broad audiences with the limitless power of art to move, motivate, and inspire. As a staunch advocate for the civic and democratic roles our cultural and educational institutions can play, she is committed to projects that demonstrate the crucial links between art and social justice.During her time at the Brooklyn Museum, Anne has focused on strengthening the Museum as a center for the visual arts that is courageous, pioneering, and inspirational. With her demonstrated imagination and skill, she envisions new ways to connect the Brooklyn Museum’s historical collections with contemporary ideas and practices, such as experimenting with how to make the permanent collection and gallery spaces into more dynamic experiences. Through her leadership, Anne has also expanded the Museum’s educational and public program offerings, and she has fostered remarkable special exhibitions, including The Legacy of Lynching: Confronting Racial Terror in America and We Wanted a Revolution: Black Radical Women, 1965–85. These initiatives are building the foundations for the Brooklyn Museum’s new Strategic Plan, to further the Museum’s mission to create inspiring encounters with art and engage the community around the issues of today.Prior to joining the Brooklyn Museum, Anne served as the director of Creative Time, where she initiated projects that gave artists opportunities to respond to political and environmental challenges, while also expanding their practice and work globally. During her tenure, the organization collaborated with hundreds of artists, including Nick Cave, Paul Chan, Jenny Holzer, and Kara Walker, commissioning and presenting works that ranged from sculptural installations in Grand Central Station’s Vanderbilt Hall to skywriting over Manhattan, as well as Tribute in Light, the twin beacons of light that illuminated the sky above the former World Trade Center site, and continue to be presented on the anniversaries of 9/11.
"
https://www.brooklynmuseum.org/about/board_of_trustees,Board of Trustees,,,"Board of Trustees
OFFICERS
CHAIRMANBarbara M. Vogelstein
VICE CHAIRStephanie Ingrassia
TREASURERNeil Simpkins
SECRETARYSaundra Williams-Cornwell
MEMBERS
Regina Aldisert
Sarah Arison
Tamara C. Belinfanti
Adele Bernhard
Jill K. Bernstein
Thomas Brodsky
Deenie Brosens
James S. Chanos
Rona Citrin
Kasseem ""Swizz Beatz"" Dean
Jonathan Donnellan
Nikola Duravcevic
Henry B. Elsesser
Sharon Fay
Norman M. Feinberg
Michael Field
Lori Finkel
J.A. Forde
Michaël Fribourg
Amanda Fuhrman
Jeffrey Gibson
Steven Guttman
Jane Hait
Jennifer Herman Feldman
Dan Houser
Kerby Jean-Raymond
Alan Jenkins
Michi Jigarjian
Ruth Jurgensen
Elizabeth Kahane
Titus Kaphar
Karen Kiehl
Susana Torruella Leval
Marley B. Lewis
Lynne M. Maguire
Joel Mallin
Janet Mock
Vik Muniz
Asahi Pompey
Leslie A. Puth
Tracey G. Riese
Victoria Rogers
Jonathan Rosen
Carla Shen
Robert Soros
Ellen N. Taubman
Mickalene Thomas
Fred Tomaselli
Colleen Tompkins
Amanda Waldron
Sean Ward
Susan Weber
Matthew Wilson
TRUSTEES EMERITI
Constance L. Christensen
Barbara Knowles Debs
Richard W. Moore
Otis Pratt Pearsall
Elizabeth A. Sackler
John S. Tamagni
EX-OFFICIO
Eric AdamsMayor, City of New York
Adrienne AdamsSpeaker, Council of the City of New York
Brad LanderComptroller, City of New York
Antonio ReynosoPresident, Borough of Brooklyn
Laurie CumboCommissioner, Department of Cultural Affairs
SHELBY WHITE AND LEON LEVY DIRECTOR
Anne Pasternak
PRESIDENT AND CHIEF OPERATING OFFICER
KP Trueblood
"
https://www.brooklynmuseum.org/about/board_of_trustees/vogelstein,Board of Trustees: Barbara,https://d1lfxha3ugu3d4.cloudfront.net/about/images/Barbara_Vogelstein_335W_2.jpg,,"Board of Trustees: Barbara M. Vogelstein

Barbara M. VogelsteinChair, Board of Trustees
Barbara Vogelstein has nearly 25 years of experience in private equity investing; her career includes significant terms at Warburg, Pincus & Co., one of the world’s largest private equity firms, where she founded their London office; and Apax Partners & Co., where she was responsible for the firm’s international media investment group. After her retirement, Vogelstein pursued many notable not-for-profit endeavors, including serving on the board of Vassar College and chairing its $430 million capital campaign. In addition, she serves on the boards of the School of American Ballet, the Grand Teton Music Festival, and Third Way, a progressive think tank. Vogelstein co-led the search that resulted in the hiring of Anne Pasternak last year. Vogelstein and her husband, John, also endowed the Museum staff position of Curator of Contemporary Art in 2005.
"
https://www.brooklynmuseum.org/about/careers,Brooklyn Museum: Careers,,"Jobs, careers","Careers
Welcome to our Careers area, where you'll find all open positions. We're committed to diversity and equal opportunity in our recruitment and hiring. Qualified candidates of all backgrounds are welcome to apply for the open positions listed below. Candidates of color are strongly encouraged to apply. 
To apply, see the instructions for the position you're interested in. Because of the volume of submissions we receive, we are unable to respond to every application, but if you are a potential candidate, we will contact you. To be considered for a position you must be legally authorized to work in the United States.
In light of the latest executive order from the Office of the Mayor, all current and future Brooklyn Museum employees are required to present documentation that they have received the Pfizer, Moderna, or Johnson & Johnson COVID-19 vaccine. If, for personal reasons, you are not able to comply with this New York City requirement, we understand and respect your decision. We take the safety and well-being of our employees seriously and thank you for your understanding regarding this change to our hiring process.
Full-time Positions
	Senior Development Officer, Individual Giving
	Museum Education Fellow—Education
	Research Assistant of Egyptian Art—Egyptian, Classical, and Ancient Near Eastern Art
	Manager, Member Experience—Membership
	Curator of Indigenous Art—Art Division
	Museum Attendant Guard—Security
Part-time Positions
	Access Programs Teaching Artist (P/T)—Education
	Adult Learning Teaching Artist [HHArt of Medicine] (P/T, Temporary)—Education
	Floor Associate (P/T, Temporary)—Visitor Experience
	Special Exhibition Floor Associate (P/T, Temporary)—Visitor Experience and Engagement
Paid Internships
In our paid internship program, interns are paired with a supervisor and integrated into our departments, participating in day-to-day workplace activities and projects with the guidance of full-time staff members. In addition to gaining extensive work experience, interns attend seminars that focus on the role of museums in society today, and how they might imagine the future. We offer positions for undergraduate and graduate students, recent graduates, and adults who aren’t enrolled in higher education. Please note: In order to be considered for a position you must be legally authorized to work in the United States. Learn more.
Apply online for the Summer Internship Program!
Summer internship: May 30–August 4, 2023 Full-time (35 hours per week), $17 per hourApplications open on February 1, 2023, and close on March 5, 2023.
Questions? Email internships@brooklynmuseum.org.
Looking for our paid teen internships? Check them out here.

At the Brooklyn Museum, we value all types of experience. For us, a successful candidate has many of the qualities listed in our job postings, and the desire and capacity to learn the rest on the job. So if much, but not all, of a job posting describes you, then we welcome your application.
We are an Equal Opportunity Employer. All candidates who apply for a position at the Brooklyn Museum will receive consideration for employment without regard to age, color, creed, disability, health condition, gender identity or expression, marital status or domestic partnership, military status, national origin or ancestry, parental status or pregnancy, race, religion, sex, sexual orientation, veteran status, and any other characteristic protected by law in all employment decisions. We embrace diversity and are committed to building a team that reflects a variety of backgrounds, perspectives, and skills. If you’re from a historically underrepresented or marginalized community, including but not limited to people of color, transgender and gender-expansive people, and individuals living with disabilities, we encourage you to apply.
Volunteer
Currently, we’re not accepting requests to volunteer at the Museum. If you emailed us about volunteering, thank you! We appreciate your interest and will keep your request on file in case we have any volunteer openings.
"
https://www.brooklynmuseum.org/about/careers/access_programs_teaching_artist,Access Programs Teaching Artist,,,"Access Programs Teaching Artist (P/T)—Education
We are seeking a creative and responsive teaching artist to collaborate in designing and teaching our Tuesday Access Programs, which includes Brooklyn Afternoons for visitors with memory loss and their care partners, as well as Verbal Description Tours for visitors who are blind or who have low vision.
Qualifications:
A demonstrable commitment to our vision of art as a catalyst for a connected, civic, and empathetic world.
Master’s degree in art history or a related field, reflecting a demonstrated capacity to give a dynamic and evocative verbal account of visual art
Experience in visual analysis or other similar practices of translating visual experience into verbal discussion, with the ability to vividly describe histories, styles, materials, mediums, and more throughout the course of a program
Previous museum experience or experience working with individuals with disabilities is ideal, but not required
Experience in public speaking or descriptive techniques such as poetry is desirable, but not required
Bilingual candidates encouraged
Responsibilities:
Teaching:
Prepare and deliver six to seven public tours between October 2022 and May 2023. Each tour will be given four times per month: once online and once in person for each program, with modifications for each audience as needed. Touch objects may be incorporated into in-person tours.
Use a microphone in conjunction with assistive listening devices, serve as a sighted guide as needed, and move around the gallery to engage with visitors.
Meetings, Prep and Professional Development
Complete online training course (two hours)
Attend training and planning meetings, with independent prep and research (eight hours/month for seven months)
Start date: Immediately
Department: Education
Reports to: Family and Community Programs Manager
Position type: Part-time
Union status: UAW Local 2110
FLSA status: Non-exempt
Salary:
Teaching (up to 3 hours/tour, includes 1.5 hour-tour, setup, and cleanup): $50/hour
Meetings, prep, and professional development: $40/hour
Schedule:
Tuesdays
Brooklyn Afternoons (Online): 1st Tuesday of the month, 3 pm (October 4, 2022–May 2, 2023)
Brooklyn Afternoons (In-Person): 2nd Tuesday of the month, 3 pm (October 11, 2022–May 9, 2023; November program meets on November 15)
Verbal Description Tours (Online): 3rd Tuesday of the month, 6 pm (October 18, 2022–May 16, 2023; November program meets on November 22)
Verbal Description Tours (In-Person): 4th Tuesday of the month, 3 pm (October 25, 2022–May 23, 2023; November program meets on November 29)
Teaching artist will observe October programs and teach November–May. There are no access programs in April 2023.
Application deadline: September 30, 2022
Apply online
If you have questions about our online application system, please get in touch with us at job.application.questions@brooklynmuseum.org
At the Brooklyn Museum, we value all types of experience. For us, a successful candidate has many of the qualities listed in our job postings, and the desire and capacity to learn the rest on the job. So if much, but not all, of a job posting describes you, then we welcome your application.
"
https://www.brooklynmuseum.org/about/careers/adult_learning_teaching_artist_hhart_of_medicine_p_t_temporaryeducation,Adult Learning Teaching Artist,,,"Adult Learning Teaching Artist [HHArt of Medicine] (P/T, Temporary)—Education
In partnership with NYC Health + Hospitals, the Brooklyn Museum seeks a seasoned teaching artist with exceptional gallery teaching experience to co-facilitate HHArt of Medicine, our art-based program for hospital staff, on-site at H+H’s various campuses. There are two to four sessions per month.
HHArt of Medicine provides a space for hospital staff across New York City to reflect on the losses we’ve collectively experienced as a result of the extended COVID-19 crisis (loneliness, missed opportunities, unknown futures, and death). Through art-making and facilitated discussions around artworks from H+H’s art collection, HHArt of Medicine seeks to offer rest and resilience for hospital workers by providing time for and fostering self-care, conversation, and connection.
Qualifications:
Extensive experience as a museum educator and a demonstrated history of work of utilizing the arts to facilitate conversation and self-reflection
Demonstrated ability to successfully engage adults from diverse backgrounds
Strong written and verbal communication skills
Capacity to maintain strong relationships with multiple agencies and organizations, both on-site and in the larger community
Ability to regularly assess performance and integrate feedback as needed
Creative problem-solving abilities and passion for work at the intersection of art and healing
Interest in slow looking and how the arts can promote health and wellness
Responsibilities:
In collaboration with an art therapist, utilize existing curricula to co-lead a highly engaging 75-minute gallery- and studio-based program for up to twenty-five hospital staff at H+H campus hospitals across the five boroughs, two to four times per month
Support materials prep and clean-up before and after each session, including possibly assisting with transportation support from the Museum to H+H campus hospitals on rare occasions
Participate in an onboarding and orientation meeting, including a program observation, prior to teaching
Participate in periodic reflection sessions with Brooklyn Museum and HHArt of Medicine staff to critically reflect on and strengthen session design
Start date: February 3, 2023
Department: Education
Reports to: Senior Manager of Adult Learning
Position type: Part-time
Salary: $400 per day for teaching sessions and $75 per hour for planning meetings
Union status: UAW Local 2110
FLSA status: Non-exempt
Schedule: The position runs from February through July 2023.
Planning: Weekday scheduled meetings and observation times to be determined: Up to four hours per month (February–July 2023)
Teaching: Two to four sessions per month; each session runs for 120–150 minutes. Sessions usually take place Monday–Friday, between the hours of 9 am to 2 pm, and are located at various hospital sites across Brooklyn, the Bronx, Manhattan, and Queens.
Application deadline: December 23, 2022
In your cover letter, please describe the key aspects of your teaching philosophy and how your pedagogical approach and/or artistic practice connects to creating space for rest and resilience.
Apply now
If you have questions about our online application system, please get in touch with us at job.application.questions@brooklynmuseum.org.
At the Brooklyn Museum, we value all types of experience. For us, a successful candidate has many of the qualities listed in our job postings, and the desire and capacity to learn the rest on the job. So if much, but not all, of a job posting describes you, then we welcome your application.
"
https://www.brooklynmuseum.org/about/contact/,Contact Us,,,"Contact Us
We welcome your comments, suggestions, and questions.
For general inquiries: information@brooklynmuseum.org or 718.638.5000.
For information about your Membership: membership@brooklynmuseum.org or 718.501.6326.
"
